iter	Passed	Remaining
401	14993	134199
402	15038	134229
403	15084	134271
404	15119	134206
405	15127	133911
406	15170	133925
407	15211	133921
408	15253	133927
409	15294	133918
410	15335	133912
411	15377	133917
412	15389	133661
413	15434	133691
414	15441	133389
415	15481	133380
416	15523	133385
417	15529	133082
418	15569	133067
419	15611	133071
420	15653	133069
421	15659	132767
422	15699	132760
423	15741	132760
424	15751	132493
425	15792	132494
426	15798	132196
427	15804	131899
428	15847	131910
429	15853	131618
430	15893	131611
431	15934	131603
432	15975	131602
433	15987	131366
434	15993	131070
435	16034	131069
436	16075	131068
437	16081	130780
438	16086	130490
439	16129	130499
440	16170	130497
441	16211	130497
442	16257	130535
443	16302	130569
444	16343	130561
445	16382	130549
446	16424	130549
447	16433	130294
448	16476	130304
449	16481	130022
450	16523	130024
451	16563	130014
452	16604	130010
453	16609	129730
454	16650	129725
455	16690	129716
456	16703	129497
457	16710	129232
458	16716	128963
459	16756	128955
460	16797	128948
461	16838	128950
462	16878	128936
463	16883	128662
464	16924	128665
465	16965	128662
466	17006	128656
467	17046	128648
468	17052	128387
469	17062	128150
470	17104	128156
471	17147	128167
472	17188	128167
473	17230	128175
474	17271	128174
475	17277	127912
476	17317	127904
477	17358	127900
478	17399	127902
479	17441	127901
480	17482	127901
481	17523	127897
482	17565	127903
483	17607	127911
484	17649	127912
485	17691	127918
486	17734	127928
487	17776	127931
488	17795	127770
489	17838	127778
490	17879	127779
491	17887	127541
492	17895	127300
493	17900	127042
494	17940	127032
495	17981	127028
496	18023	127036
497	18064	127032
498	18106	127035
499	18137	126962
500	18179	126965
501	18220	126960
502	18262	126962
503	18303	126964
504	18308	126712
505	18350	126711
506	18381	126641
507	18425	126655
508	18468	126667
509	18480	126466
510	18523	126472
511	18562	126459
512	18575	126264
513	18616	126255
514	18622	126015
515	18627	125772
516	18634	125536
517	18674	125528
518	18718	125546
519	18760	125553
520	18775	125372
521	18788	125182
522	18836	125230
523	18880	125243
524	18887	125015
525	18929	125020
526	18934	124783
527	18976	124784
528	18982	124552
529	19000	124402
530	19007	124174
531	19012	123940
532	19023	123739
533	19029	123515
534	19070	123515
535	19076	123283
536	19081	123053
537	19086	122822
538	19094	122606
539	19112	122459
540	19153	122464
541	19161	122250
542	19201	122245
543	19242	122244
544	19283	122245
545	19326	122259
546	19369	122274
547	19376	122056
548	19385	121854
549	19390	121632
550	19432	121638
551	19439	121426
552	19481	121430
553	19521	121430
554	19562	121425
555	19603	121430
556	19609	121212
557	19651	121220
558	19657	121002
559	19699	121010
560	19704	120792
561	19746	120795
562	19753	120588
563	19760	120385
564	19765	120169
565	19808	120181
566	19814	119968
567	19819	119755
568	19828	119562
569	19870	119571
570	19910	119569
571	19950	119564
572	19957	119359
573	19999	119367
574	20039	119366
575	20045	119157
576	20086	119161
577	20092	118953
578	20132	118950
579	20173	118954
580	20213	118952
581	20219	118747
582	20225	118540
583	20265	118539
584	20306	118538
585	20347	118540
586	20353	118340
587	20393	118337
588	20399	118139
589	20406	117942
590	20414	117755
591	20456	117765
592	20497	117767
593	20503	117565
594	20547	117589
595	20590	117600
596	20632	117611
597	20675	117619
598	20681	117427
599	20722	117427
600	20765	117440
601	20807	117445
602	20850	117462
603	20891	117462
604	20932	117463
605	20972	117460
606	21012	117455
607	21031	117333
608	21071	117331
609	21114	117340
610	21120	117149
611	21161	117151
612	21203	117156
613	21209	116961
614	21240	116910
615	21281	116912
616	21287	116720
617	21329	116723
618	21370	116725
619	21377	116542
620	21417	116536
621	21459	116543
